[CLIENT] Reading stack: 1 metal/sheet/steel | RegistryName: tfc:metal/sheet/steel | Count: 1
[CLIENT] Reading stack: 1 metal/sheet/bismuth_bronze | RegistryName: tfc:metal/sheet/bismuth_bronze | Count: 1
[CLIENT] Reading stack: 1 metal/sheet/bismuth | RegistryName: tfc:metal/sheet/bismuth | Count: 1
[CLIENT] Reading stack: 1 metal/double_ingot/black_steel | RegistryName: tfc:metal/double_ingot/black_steel | Count: 1
[CLIENT] Reading stack: 1 metal/sheet/copper | RegistryName: tfc:metal/sheet/copper | Count: 1
[CLIENT] Reading stack: 1 metal/sheet/red_steel | RegistryName: tfc:metal/sheet/red_steel | Count: 1
[CLIENT] Reading stack: 1 metal/sheet/blue_steel | RegistryName: tfc:metal/sheet/blue_steel | Count: 1
[CLIENT] Reading stack: 1 metal/double_ingot/gold | RegistryName: tfc:metal/double_ingot/gold | Count: 1
[CLIENT] Reading stack: 1 metal/double_ingot/bismuth_bronze | RegistryName: tfc:metal/double_ingot/bismuth_bronze | Count: 1
[CLIENT] Reading stack: 1 metal/double_ingot/silver | RegistryName: tfc:metal/double_ingot/silver | Count: 1
[CLIENT] Reading stack: 1 metal/double_ingot/blue_steel | RegistryName: tfc:metal/double_ingot/blue_steel | Count: 1
[CLIENT] Reading stack: 1 metal/sheet/nickel | RegistryName: tfc:metal/sheet/nickel | Count: 1
[CLIENT] Reading stack: 1 metal/sheet/black_bronze | RegistryName: tfc:metal/sheet/black_bronze | Count: 1
[CLIENT] Reading stack: 1 metal/double_ingot/red_steel | RegistryName: tfc:metal/double_ingot/red_steel | Count: 1
[CLIENT] Reading stack: 1 metal/sheet/tin | RegistryName: tfc:metal/sheet/tin | Count: 1
[CLIENT] Reading stack: 1 metal/sheet/brass | RegistryName: tfc:metal/sheet/brass | Count: 1
[CLIENT] Reading stack: 1 metal/double_ingot/copper | RegistryName: tfc:metal/double_ingot/copper | Count: 1
[CLIENT] Reading stack: 1 metal/double_ingot/cast_iron | RegistryName: tfc:metal/double_ingot/cast_iron | Count: 1
[CLIENT] Reading stack: 1 metal/double_ingot/rose_gold | RegistryName: tfc:metal/double_ingot/rose_gold | Count: 1
[CLIENT] Reading stack: 1 metal/double_ingot/steel | RegistryName: tfc:metal/double_ingot/steel | Count: 1
